나이,성별,스타일,일 평균 기온,일 평균 기상,일 평균 습도,일 평균 풍속,상의 카테고리,상의 색상,상의 기장,상의 소재,상의 프린트,하의 카테고리,하의 색상,하의 기장,하의 소재,하의 프린트,Cluster
20대,남성,스트리트,24.4,맑음,61.53514063267166,8.0,티셔츠,블루,노멀,우븐,무지,팬츠,블루,노멀,우븐,무지,7
20대,남성,스트리트,21.9,비,93.8,2.1,셔츠,블루,노멀,우븐,무지,팬츠,블루,노멀,우븐,무지,8
20대,남성,스트리트,24.4,맑음,61.53514063267166,8.0,셔츠,블루,노멀,우븐,무지,팬츠,블루,노멀,우븐,무지,7
20대,남성,스트리트,26.0,맑음,60.1,1.7,셔츠,네이비,노멀,우븐,무지,청바지,네이비,노멀,우븐,무지,7
20대,남성,스트리트,26.0,맑음,60.1,1.7,셔츠,네이비,노멀,우븐,무지,청바지,네이비,노멀,우븐,무지,7
20대,남성,스트리트,26.0,맑음,60.1,1.7,셔츠,네이비,노멀,우븐,무지,팬츠,네이비,노멀,우븐,무지,7
20대,남성,스트리트,26.0,맑음,60.1,1.7,셔츠,네이비,노멀,우븐,무지,청바지,네이비,노멀,우븐,무지,7
20대,남성,스트리트,26.0,맑음,60.1,1.7,티셔츠,네이비,노멀,우븐,무지,팬츠,네이비,노멀,우븐,무지,7
20대,남성,스트리트,26.0,맑음,60.1,1.7,셔츠,네이비,노멀,우븐,무지,팬츠,네이비,노멀,우븐,무지,7
20대,남성,스트리트,26.0,맑음,60.1,1.7,셔츠,옐로우,노멀,우븐,무지,청바지,옐로우,노멀,우븐,무지,7
20대,남성,스트리트,26.0,맑음,60.1,1.7,티셔츠,옐로우,노멀,우븐,무지,청바지,옐로우,노멀,우븐,무지,7
20대,남성,스트리트,22.4,비,89.6,1.9,셔츠,옐로우,노멀,우븐,무지,팬츠,옐로우,노멀,우븐,무지,8
20대,남성,스트리트,26.0,맑음,60.1,1.7,블라우스,옐로우,노멀,우븐,무지,팬츠,옐로우,노멀,우븐,무지,7
20대,남성,스트리트,26.0,맑음,60.1,1.7,티셔츠,화이트,노멀,우븐,무지,팬츠,화이트,발목,우븐,무지,7
20대,남성,스트리트,26.0,맑음,60.1,1.7,블라우스,화이트,발목,우븐,무지,팬츠,화이트,발목,우븐,무지,7
20대,남성,스트리트,22.9,안개,67.6,3.4,티셔츠,스카이블루,노멀,데님,무지,청바지,스카이블루,노멀,데님,무지,15
20대,남성,스트리트,22.9,안개,67.6,3.4,셔츠,블루,노멀,우븐,플로럴,청바지,블루,노멀,우븐,플로럴,15
20대,남성,스트리트,22.9,안개,67.6,3.4,티셔츠,블랙,노멀,우븐,무지,스커트,블랙,노멀,우븐,무지,15
20대,남성,스트리트,23.8,안개,63.1,2.5,셔츠,블랙,노멀,우븐,무지,팬츠,블랙,노멀,우븐,무지,15
20대,남성,스트리트,22.9,안개,67.6,3.4,재킷,그레이,노멀,우븐,체크,팬츠,그레이,노멀,우븐,체크,15
20대,남성,스트리트,23.8,안개,63.1,2.5,티셔츠,그레이,노멀,우븐,체크,팬츠,그레이,노멀,우븐,체크,15
20대,남성,스트리트,23.8,안개,63.1,2.5,티셔츠,그레이,노멀,우븐,체크,스커트,그레이,노멀,우븐,체크,15
10대,남성,스트리트,23.8,안개,63.1,2.5,셔츠,그레이,노멀,우븐,체크,팬츠,그레이,노멀,우븐,체크,15
30대,남성,스트리트,23.8,안개,63.1,2.5,블라우스,그레이,노멀,우븐,체크,청바지,그레이,노멀,우븐,체크,15
20대,남성,스트리트,23.8,안개,63.1,2.5,셔츠,그레이,노멀,우븐,체크,팬츠,그레이,노멀,우븐,체크,15
20대,남성,스트리트,20.9,비,73.5,2.8,티셔츠,그레이,노멀,우븐,체크,팬츠,그레이,노멀,우븐,체크,2
30대,남성,스트리트,20.9,비,73.5,2.8,셔츠,네이비,노멀,우븐,타이다이,팬츠,카키,노멀,우븐,무지,2
20대,남성,스트리트,20.9,비,73.5,2.8,티셔츠,네이비,노멀,우븐,타이다이,팬츠,네이비,노멀,우븐,타이다이,2
20대,남성,스트리트,20.9,비,73.5,2.8,티셔츠,네이비,노멀,우븐,타이다이,팬츠,네이비,노멀,우븐,타이다이,2
20대,남성,스트리트,20.9,비,73.5,2.8,셔츠,네이비,노멀,우븐,타이다이,팬츠,네이비,노멀,우븐,타이다이,2
20대,남성,스트리트,20.9,비,73.5,2.8,티셔츠,네이비,노멀,우븐,타이다이,청바지,네이비,노멀,우븐,타이다이,2
30대,남성,스트리트,20.9,비,73.5,2.8,티셔츠,네이비,노멀,우븐,타이다이,팬츠,네이비,노멀,우븐,타이다이,2
30대,남성,스트리트,20.9,비,73.5,2.8,티셔츠,네이비,노멀,우븐,타이다이,팬츠,네이비,노멀,우븐,타이다이,2
20대,남성,스트리트,20.9,비,73.5,2.8,셔츠,블루,롱,우븐,무지,팬츠,블루,롱,우븐,무지,2
20대,남성,스트리트,20.9,비,73.5,2.8,셔츠,블루,롱,우븐,무지,팬츠,블루,롱,우븐,무지,2
30대,남성,스트리트,20.9,비,73.5,2.8,티셔츠,블루,롱,우븐,무지,팬츠,블루,롱,우븐,무지,2
20대,남성,스트리트,20.9,비,73.5,2.8,티셔츠,블루,롱,우븐,무지,팬츠,블루,롱,우븐,무지,2
20대,남성,스트리트,20.9,비,73.5,2.8,티셔츠,블루,롱,우븐,무지,청바지,블루,롱,우븐,무지,2
20대,남성,스트리트,20.9,비,73.5,2.8,셔츠,블루,롱,우븐,무지,팬츠,블루,롱,우븐,무지,2
20대,남성,스트리트,20.9,비,73.5,2.8,재킷,블랙,롱,우븐,무지,팬츠,블랙,롱,우븐,무지,2
30대,남성,스트리트,20.9,비,73.5,2.8,티셔츠,블랙,롱,우븐,무지,팬츠,블랙,롱,우븐,무지,2
20대,남성,스트리트,20.9,비,73.5,2.8,티셔츠,네이비,노멀,저지,스트라이프,팬츠,네이비,노멀,저지,스트라이프,2
30대,남성,스트리트,20.9,비,73.5,2.8,셔츠,스카이블루,노멀,우븐,깅엄,팬츠,스카이블루,노멀,우븐,깅엄,2
20대,남성,스트리트,20.9,비,73.5,2.8,티셔츠,화이트,노멀,우븐,무지,팬츠,화이트,미니,우븐,무지,2
30대,남성,스트리트,23.8,비,62.5,2.1,셔츠,라벤더,롱,패딩,무지,팬츠,라벤더,롱,패딩,무지,15
