나이,성별,스타일,일 평균 기온,일 평균 기상,일 평균 습도,일 평균 풍속,상의 카테고리,상의 색상,상의 기장,상의 소재,상의 프린트,하의 카테고리,하의 색상,하의 기장,하의 소재,하의 프린트,Cluster
20대,남성,스트리트,17.0,맑음,44.8,1.8,재킷,블랙,노멀,우븐,무지,팬츠,블랙,발목,우븐,무지,0
20대,남성,스트리트,13.0,맑음,35.1,1.7,재킷,블랙,노멀,패딩,무지,팬츠,블랙,노멀,패딩,무지,18
20대,남성,스트리트,13.0,맑음,35.1,1.7,티셔츠,블랙,노멀,패딩,무지,팬츠,블랙,노멀,패딩,무지,18
20대,남성,스트리트,13.0,맑음,35.1,1.7,재킷,블랙,노멀,패딩,무지,팬츠,블랙,노멀,패딩,무지,18
20대,남성,스트리트,13.0,맑음,35.1,1.7,재킷,화이트,노멀,우븐,무지,팬츠,화이트,노멀,우븐,무지,18
20대,남성,스트리트,13.0,맑음,35.1,1.7,재킷,화이트,노멀,우븐,체크,팬츠,화이트,발목,우븐,체크,18
20대,남성,스트리트,13.0,맑음,35.1,1.7,코트,화이트,발목,우븐,체크,팬츠,화이트,발목,우븐,체크,18
20대,남성,스트리트,7.2,맑음,34.3,1.7,점퍼,블랙,하프,우븐,무지,청바지,블랙,하프,우븐,무지,19
20대,남성,스트리트,7.2,맑음,34.3,1.7,베스트,블랙,노멀,우븐,무지,팬츠,블랙,노멀,우븐,무지,19
20대,남성,스트리트,7.2,맑음,34.3,1.7,재킷,블랙,노멀,우븐,무지,청바지,블랙,노멀,우븐,무지,19
20대,남성,스트리트,7.2,맑음,34.3,1.7,점퍼,브라운,노멀,우븐,무지,청바지,브라운,노멀,우븐,무지,19
20대,남성,스트리트,7.2,맑음,34.3,1.7,재킷,브라운,노멀,우븐,무지,청바지,브라운,노멀,우븐,무지,19
20대,남성,스트리트,7.2,맑음,34.3,1.7,재킷,브라운,노멀,우븐,무지,청바지,브라운,노멀,우븐,무지,19
20대,남성,스트리트,7.2,맑음,34.3,1.7,점퍼,브라운,노멀,우븐,무지,팬츠,브라운,노멀,우븐,무지,19
20대,남성,스트리트,7.2,맑음,34.3,1.7,재킷,브라운,노멀,우븐,무지,팬츠,브라운,노멀,우븐,무지,19
20대,남성,스트리트,7.2,맑음,34.3,1.7,재킷,브라운,노멀,우븐,무지,팬츠,브라운,노멀,우븐,무지,19
20대,남성,스트리트,7.2,맑음,34.3,1.7,후드티,브라운,노멀,우븐,무지,팬츠,브라운,노멀,우븐,무지,19
20대,남성,스트리트,4.6,맑음,36.8,2.4,재킷,블루,노멀,우븐,타이다이,청바지,블랙,발목,데님,무지,19
20대,남성,스트리트,4.6,맑음,36.8,2.4,점퍼,블루,노멀,우븐,타이다이,팬츠,블루,노멀,우븐,타이다이,19
30대,남성,스트리트,4.6,맑음,36.8,2.4,티셔츠,블루,노멀,우븐,타이다이,청바지,블루,노멀,우븐,타이다이,19
20대,남성,스트리트,4.6,맑음,36.8,2.4,코트,블랙,노멀,우븐,무지,팬츠,블랙,노멀,우븐,무지,19
20대,남성,스트리트,4.6,맑음,36.8,2.4,재킷,블랙,노멀,우븐,무지,스커트,블랙,노멀,우븐,무지,19
20대,남성,스트리트,4.6,맑음,36.8,2.4,셔츠,블랙,노멀,우븐,무지,팬츠,블랙,노멀,우븐,무지,19
20대,남성,스트리트,8.6,안개,66.6,3.0,티셔츠,블랙,노멀,우븐,무지,팬츠,카키,노멀,우븐,무지,1
20대,남성,스트리트,8.6,안개,66.6,3.0,베스트,블랙,노멀,우븐,무지,청바지,블랙,노멀,우븐,무지,1
20대,남성,스트리트,9.2,맑음,45.9,2.9,후드티,블랙,노멀,우븐,무지,팬츠,블랙,노멀,우븐,무지,14
20대,남성,스트리트,9.2,맑음,45.9,2.9,재킷,블랙,노멀,우븐,무지,팬츠,블랙,노멀,우븐,무지,14
10대,남성,스트리트,2.9,맑음,38.9,3.2,재킷,네이비,노멀,데님,타이다이,팬츠,블루,노멀,데님,무지,14
20대,남성,스트리트,2.9,맑음,38.9,3.2,패딩,네이비,노멀,데님,타이다이,팬츠,네이비,노멀,데님,타이다이,14
20대,남성,스트리트,2.9,맑음,38.9,3.2,베스트,네이비,노멀,데님,타이다이,팬츠,네이비,노멀,데님,타이다이,14
20대,남성,스트리트,2.9,맑음,38.9,3.2,점퍼,네이비,노멀,데님,타이다이,팬츠,네이비,노멀,데님,타이다이,14
10대,남성,스트리트,2.9,맑음,38.9,3.2,짚업,네이비,노멀,데님,타이다이,팬츠,네이비,노멀,데님,타이다이,14
20대,남성,스트리트,2.9,맑음,38.9,3.2,재킷,네이비,노멀,데님,타이다이,팬츠,네이비,노멀,데님,타이다이,14
20대,남성,스트리트,2.9,맑음,38.9,3.2,가디건,네이비,노멀,데님,타이다이,청바지,네이비,노멀,데님,타이다이,14
20대,남성,스트리트,2.9,맑음,38.9,3.2,셔츠,네이비,노멀,데님,타이다이,팬츠,네이비,노멀,데님,타이다이,14
30대,남성,스트리트,13.5,안개,62.1,2.1,재킷,블랙,노멀,우븐,무지,팬츠,블랙,발목,우븐,무지,1
20대,남성,스트리트,13.5,안개,62.1,2.1,가디건,블랙,노멀,우븐,무지,청바지,블랙,노멀,우븐,무지,1
20대,남성,스트리트,13.5,안개,62.1,2.1,니트웨어,블랙,노멀,우븐,무지,청바지,블랙,노멀,우븐,무지,1
20대,남성,스트리트,13.5,안개,62.1,2.1,셔츠,블랙,노멀,우븐,무지,팬츠,블랙,발목,우븐,무지,1
20대,남성,스트리트,13.5,안개,62.1,2.1,티셔츠,블랙,발목,우븐,무지,팬츠,블랙,발목,우븐,무지,1
20대,남성,스트리트,13.5,안개,62.1,2.1,재킷,블랙,발목,우븐,무지,청바지,블랙,발목,우븐,무지,1
20대,남성,스트리트,13.5,안개,62.1,2.1,점퍼,블랙,발목,우븐,무지,청바지,블랙,발목,우븐,무지,1
20대,남성,스트리트,13.5,안개,62.1,2.1,점퍼,블랙,발목,우븐,무지,팬츠,블랙,발목,우븐,무지,1
10대,남성,스트리트,15.8,맑음,61.53514063267166,11.8,후드티,블랙,노멀,우븐,무지,팬츠,블랙,발목,우븐,무지,16
20대,남성,스트리트,15.8,맑음,61.53514063267166,11.8,셔츠,블랙,발목,우븐,무지,팬츠,블랙,발목,우븐,무지,16
20대,남성,스트리트,15.3,안개,85.8,6.0,점퍼,블랙,발목,우븐,무지,팬츠,블랙,발목,우븐,무지,13
20대,남성,스트리트,10.3,비,85.9,2.3,재킷,블랙,발목,우븐,무지,팬츠,블랙,발목,우븐,무지,13
30대,남성,스트리트,10.3,비,85.9,2.3,재킷,블랙,발목,우븐,무지,팬츠,블랙,발목,우븐,무지,13
20대,남성,스트리트,15.8,맑음,61.53514063267166,11.8,재킷,블랙,발목,우븐,무지,팬츠,블랙,발목,우븐,무지,16
20대,남성,스트리트,15.8,맑음,61.53514063267166,11.8,점퍼,블랙,발목,우븐,무지,팬츠,블랙,발목,우븐,무지,16
30대,남성,스트리트,15.8,맑음,61.53514063267166,11.8,셔츠,블랙,노멀,우븐,무지,팬츠,블랙,노멀,우븐,무지,16
20대,남성,스트리트,15.8,맑음,61.53514063267166,11.8,셔츠,블랙,노멀,우븐,무지,팬츠,블랙,노멀,우븐,무지,16
20대,남성,스트리트,14.0,맑음,61.53514063267166,8.7,재킷,블랙,노멀,우븐,무지,청바지,블랙,노멀,우븐,무지,16
20대,남성,스트리트,14.0,맑음,61.53514063267166,8.7,재킷,블랙,노멀,우븐,무지,팬츠,블랙,노멀,우븐,무지,16
20대,남성,스트리트,14.0,맑음,61.53514063267166,8.7,후드티,블랙,노멀,우븐,무지,팬츠,블랙,노멀,우븐,무지,16
20대,남성,스트리트,14.0,맑음,61.53514063267166,8.7,후드티,블랙,노멀,우븐,무지,팬츠,블랙,노멀,우븐,무지,16
20대,남성,테스트 스타일,14.0,맑음,61.53514063267166,8.7,테스트 상의 카테고리,테스트 상의 색상,테스트 상의 기장,테스트 상의 소재,테스트 상의 프린트,청바지,블랙,노멀,우븐,무지,16
20대,남성,스트리트,14.0,맑음,61.53514063267166,8.7,재킷,블랙,노멀,우븐,무지,청바지,블랙,노멀,우븐,무지,16
20대,남성,스트리트,14.0,맑음,61.53514063267166,8.7,재킷,블랙,노멀,우븐,무지,팬츠,블랙,노멀,우븐,무지,16
20대,남성,스트리트,14.0,맑음,61.53514063267166,8.7,재킷,블랙,노멀,우븐,무지,팬츠,블랙,노멀,우븐,무지,16
20대,남성,스트리트,14.0,맑음,61.53514063267166,8.7,재킷,블랙,노멀,우븐,무지,청바지,블랙,노멀,우븐,무지,16
20대,남성,스트리트,14.0,맑음,61.53514063267166,8.7,패딩,블랙,노멀,우븐,무지,팬츠,블랙,노멀,우븐,무지,16
20대,남성,스트리트,14.0,맑음,61.53514063267166,8.7,재킷,블랙,노멀,우븐,무지,청바지,블랙,노멀,우븐,무지,16
20대,남성,스트리트,14.0,맑음,61.53514063267166,8.7,점퍼,블랙,노멀,우븐,무지,팬츠,블랙,노멀,우븐,무지,16
20대,남성,스트리트,14.0,맑음,61.53514063267166,8.7,베스트,블랙,노멀,우븐,무지,팬츠,블랙,노멀,우븐,무지,16
20대,남성,스트리트,11.7,안개,60.9,2.3,점퍼,브라운,노멀,우븐,무지,청바지,브라운,노멀,우븐,무지,1
20대,남성,스트리트,11.7,안개,60.9,2.3,티셔츠,브라운,롱,우븐,무지,팬츠,브라운,롱,우븐,무지,1
20대,남성,스트리트,11.7,안개,60.9,2.3,가디건,브라운,롱,우븐,무지,팬츠,브라운,롱,우븐,무지,1
20대,남성,스트리트,11.7,안개,60.9,2.3,후드티,브라운,롱,우븐,무지,팬츠,브라운,롱,우븐,무지,1
20대,남성,스트리트,9.2,맑음,41.9,2.1,점퍼,와인,롱,우븐,무지,팬츠,와인,롱,우븐,무지,14
20대,남성,스트리트,9.2,맑음,41.9,2.1,재킷,와인,롱,우븐,무지,팬츠,와인,롱,우븐,무지,14
30대,남성,스트리트,9.2,맑음,41.9,2.1,점퍼,와인,롱,우븐,무지,팬츠,와인,롱,우븐,무지,14
20대,남성,스트리트,9.2,맑음,41.9,2.1,점퍼,브라운,노멀,우븐,무지,스커트,브라운,노멀,우븐,무지,14
20대,남성,스트리트,9.2,맑음,41.9,2.1,재킷,브라운,노멀,데님,무지,팬츠,브라운,노멀,데님,무지,14
20대,남성,스트리트,4.6,맑음,65.0,2.1,티셔츠,블루,노멀,저지,무지,팬츠,블루,노멀,저지,무지,4
20대,남성,스트리트,4.6,맑음,65.0,2.1,티셔츠,블루,노멀,저지,무지,팬츠,블루,노멀,저지,무지,4
20대,남성,스트리트,4.6,맑음,65.0,2.1,티셔츠,블루,노멀,저지,무지,청바지,블루,노멀,저지,무지,4
20대,남성,스트리트,4.6,맑음,65.0,2.1,후드티,블루,노멀,저지,무지,팬츠,블루,노멀,저지,무지,4
30대,남성,테스트 스타일,4.6,맑음,65.0,2.1,테스트 상의 카테고리,테스트 상의 색상,테스트 상의 기장,테스트 상의 소재,테스트 상의 프린트,조거팬츠,블루,노멀,저지,무지,4
20대,남성,스트리트,4.6,맑음,65.0,2.1,티셔츠,블루,노멀,저지,무지,팬츠,블루,노멀,저지,무지,4
20대,남성,스트리트,4.6,맑음,65.0,2.1,셔츠,블루,노멀,저지,무지,팬츠,블루,노멀,저지,무지,4
20대,남성,스트리트,4.6,맑음,65.0,2.1,재킷,블루,노멀,우븐,무지,조거팬츠,블루,노멀,우븐,무지,4
20대,남성,스트리트,2.2,맑음,37.8,2.8,점퍼,블루,하프,우븐,무지,청바지,블루,하프,우븐,무지,19
20대,남성,스트리트,2.2,맑음,37.8,2.8,점퍼,블루,하프,우븐,무지,청바지,블루,하프,우븐,무지,19
20대,남성,스트리트,2.2,맑음,37.8,2.8,패딩,블루,하프,우븐,무지,팬츠,블루,하프,우븐,무지,19
20대,남성,스트리트,10.0,맑음,59.8,6.1,셔츠,그린,노멀,우븐,레터링,팬츠,그린,노멀,우븐,레터링,1
20대,남성,스트리트,4.3,맑음,63.4,2.0,재킷,그린,노멀,우븐,레터링,청바지,그린,노멀,우븐,레터링,4
20대,남성,스트리트,4.3,맑음,63.4,2.0,재킷,그린,노멀,우븐,레터링,팬츠,그린,노멀,우븐,레터링,4
20대,남성,스트리트,4.3,맑음,63.4,2.0,점퍼,블랙,노멀,우븐,무지,팬츠,블랙,노멀,우븐,무지,4
20대,남성,스트리트,4.4,맑음,47.4,1.9,코트,블랙,노멀,우븐,무지,팬츠,블랙,노멀,우븐,무지,14
20대,남성,스트리트,8.3,맑음,47.4,2.9,패딩,그린,노멀,우븐,무지,팬츠,그린,노멀,우븐,무지,14
20대,남성,스트리트,4.4,맑음,47.4,1.9,재킷,그린,노멀,우븐,무지,팬츠,그린,노멀,우븐,무지,14
20대,남성,스트리트,4.4,맑음,47.4,1.9,셔츠,그린,노멀,우븐,무지,팬츠,그린,노멀,우븐,무지,14
20대,남성,스트리트,4.4,맑음,47.4,1.9,점퍼,그린,노멀,우븐,무지,팬츠,그린,노멀,우븐,무지,14
20대,남성,스트리트,4.4,맑음,47.4,1.9,점퍼,그린,노멀,우븐,무지,팬츠,그린,노멀,우븐,무지,14
20대,남성,스트리트,2.9,맑음,65.5,1.9,짚업,블랙,노멀,패딩,무지,팬츠,네이비,발목,패딩,무지,4
30대,남성,스트리트,2.9,맑음,65.5,1.9,점퍼,네이비,발목,패딩,무지,청바지,네이비,발목,패딩,무지,4
20대,남성,스트리트,2.9,맑음,65.5,1.9,점퍼,네이비,발목,패딩,무지,청바지,네이비,발목,패딩,무지,4
20대,남성,스트리트,2.9,맑음,65.5,1.9,패딩,블랙,노멀,패딩,레터링,팬츠,블랙,노멀,우븐,레터링,4
20대,남성,스트리트,2.9,맑음,65.5,1.9,점퍼,블랙,노멀,우븐,레터링,청바지,블랙,노멀,우븐,레터링,4
20대,남성,스트리트,1.2,맑음,50.6,2.2,티셔츠,블랙,노멀,우븐,레터링,팬츠,블랙,노멀,우븐,레터링,10
20대,남성,스트리트,1.2,맑음,50.6,2.2,재킷,블랙,노멀,우븐,무지,팬츠,블랙,노멀,우븐,무지,10
20대,남성,스트리트,1.2,맑음,50.6,2.2,패딩,블랙,노멀,우븐,무지,청바지,블랙,노멀,우븐,무지,10
20대,남성,스트리트,1.2,맑음,50.6,2.2,패딩,블랙,노멀,우븐,무지,청바지,블랙,노멀,우븐,무지,10
20대,남성,스트리트,1.2,맑음,50.6,2.2,패딩,블랙,노멀,우븐,무지,팬츠,블랙,노멀,우븐,무지,10
20대,남성,스트리트,1.2,맑음,50.6,2.2,코트,블랙,노멀,우븐,무지,팬츠,블랙,노멀,우븐,무지,10
20대,남성,스트리트,1.2,맑음,50.6,2.2,점퍼,블랙,노멀,우븐,무지,팬츠,블랙,노멀,우븐,무지,10
10대,남성,스트리트,-1.3,맑음,42.4,2.1,후드티,네이비,노멀,우븐,무지,청바지,그레이,맥시,데님,무지,12
20대,남성,스트리트,-1.3,맑음,42.4,2.1,셔츠,블랙,롱,우븐,체크,팬츠,블랙,롱,우븐,체크,12
10대,남성,스트리트,-1.3,맑음,42.4,2.1,셔츠,블랙,롱,우븐,체크,팬츠,블랙,롱,우븐,무지,12
20대,남성,스트리트,-1.3,맑음,42.4,2.1,재킷,블랙,노멀,우븐,무지,청바지,블랙,노멀,우븐,무지,12
20대,남성,스트리트,-0.5,맑음,46.4,3.3,티셔츠,스카이블루,노멀,시폰,무지,청바지,블루,발목,데님,무지,14
20대,남성,스트리트,-0.5,맑음,46.4,3.3,재킷,블루,발목,데님,무지,청바지,블루,발목,데님,무지,14
20대,남성,스트리트,3.4,맑음,67.8,1.8,후드티,블랙,발목,우븐,무지,청바지,블랙,발목,데님,무지,4
20대,남성,스트리트,3.4,맑음,67.8,1.8,짚업,블랙,발목,데님,무지,청바지,블랙,발목,데님,무지,4
20대,남성,스트리트,3.4,맑음,67.8,1.8,티셔츠,블랙,발목,데님,무지,팬츠,블랙,발목,데님,무지,4
20대,남성,스트리트,3.4,맑음,67.8,1.8,티셔츠,블랙,발목,데님,무지,팬츠,블랙,발목,데님,무지,4
30대,남성,스트리트,3.4,맑음,67.8,1.8,티셔츠,블랙,발목,데님,무지,청바지,블랙,발목,데님,무지,4
10대,남성,스트리트,2.3,눈,68.3,2.7,패딩,블랙,발목,패딩,무지,팬츠,블랙,발목,패딩,무지,4
20대,남성,스트리트,2.3,눈,68.3,2.7,재킷,블랙,하프,패딩,무지,팬츠,블랙,하프,패딩,무지,4
20대,남성,스트리트,2.3,눈,68.3,2.7,패딩,블랙,롱,패딩,무지,팬츠,블랙,발목,패딩,무지,4
20대,남성,스트리트,2.3,눈,68.3,2.7,후드티,블랙,롱,패딩,무지,팬츠,블랙,롱,패딩,무지,4
20대,남성,스트리트,2.3,눈,68.3,2.7,후드티,레드,롱,패딩,무지,팬츠,블랙,롱,패딩,무지,4
20대,남성,스트리트,2.3,눈,68.3,2.7,패딩,블랙,노멀,패딩,무지,팬츠,블랙,롱,우븐,무지,4
20대,남성,스트리트,3.2,맑음,46.4,2.5,재킷,블랙,노멀,패딩,무지,청바지,블랙,노멀,패딩,무지,14
20대,남성,스트리트,3.2,맑음,46.4,2.5,재킷,블랙,노멀,패딩,무지,팬츠,블랙,노멀,패딩,무지,14
20대,남성,스트리트,3.2,맑음,46.4,2.5,티셔츠,베이지,노멀,패딩,무지,팬츠,베이지,노멀,패딩,무지,14
20대,남성,스트리트,3.2,맑음,46.4,2.5,패딩,베이지,노멀,패딩,무지,청바지,베이지,노멀,패딩,무지,14
20대,남성,스트리트,3.2,맑음,46.4,2.5,패딩,베이지,노멀,패딩,무지,팬츠,베이지,노멀,패딩,무지,14
20대,남성,스트리트,3.2,맑음,46.4,2.5,패딩,베이지,노멀,패딩,무지,팬츠,베이지,노멀,패딩,무지,14
20대,남성,스트리트,1.7,맑음,54.9,2.7,재킷,베이지,노멀,패딩,무지,팬츠,베이지,노멀,패딩,무지,5
20대,남성,스트리트,1.7,맑음,54.9,2.7,패딩,베이지,노멀,패딩,무지,팬츠,베이지,노멀,우븐,무지,10
20대,남성,스트리트,1.7,맑음,54.9,2.7,점퍼,블루,노멀,우븐,무지,팬츠,블루,노멀,우븐,무지,5
30대,남성,스트리트,1.7,맑음,54.9,2.7,짚업,블루,노멀,우븐,무지,청바지,블루,노멀,우븐,무지,5
20대,남성,스트리트,1.7,맑음,54.9,2.7,재킷,블루,노멀,우븐,무지,팬츠,블루,발목,우븐,무지,5
20대,남성,스트리트,1.7,맑음,54.9,2.7,셔츠,블루,노멀,우븐,무지,팬츠,블루,노멀,우븐,무지,5
20대,남성,스트리트,1.7,맑음,54.9,2.7,코트,블랙,노멀,우븐,무지,팬츠,그린,노멀,우븐,무지,5
20대,남성,스트리트,5.9,맑음,66.5,2.3,점퍼,블랙,하프,패딩,무지,팬츠,블랙,하프,패딩,무지,4
20대,남성,스트리트,5.9,맑음,66.5,2.3,재킷,블랙,하프,패딩,무지,팬츠,블랙,하프,패딩,무지,4
20대,남성,스트리트,3.8,눈,79.6,2.2,티셔츠,스카이블루,노멀,우븐,무지,조거팬츠,스카이블루,노멀,우븐,무지,17
20대,남성,스트리트,4.0,비,49.9,2.5,짚업,스카이블루,노멀,우븐,무지,팬츠,스카이블루,노멀,우븐,무지,5
20대,남성,스트리트,4.0,비,49.9,2.5,패딩,그레이,롱,패딩,무지,팬츠,그레이,발목,우븐,무지,5
20대,남성,스트리트,2.1,안개,62.1,2.5,코트,블랙,롱,우븐,무지,팬츠,블랙,노멀,우븐,무지,4
20대,남성,스트리트,2.1,안개,62.1,2.5,패딩,블랙,롱,우븐,무지,팬츠,블랙,롱,우븐,무지,4
20대,남성,스트리트,3.5,안개,72.9,1.5,점퍼,블랙,노멀,우븐,무지,팬츠,블랙,노멀,우븐,무지,17
20대,남성,스트리트,3.5,안개,72.9,1.5,패딩,블랙,노멀,우븐,무지,팬츠,블랙,노멀,우븐,무지,17
20대,남성,스트리트,3.5,안개,72.9,1.5,짚업,블랙,노멀,우븐,무지,청바지,블랙,노멀,우븐,무지,17
30대,남성,스트리트,3.5,안개,72.9,1.5,점퍼,블랙,노멀,우븐,무지,청바지,블랙,노멀,우븐,무지,17
20대,남성,스트리트,3.0,안개,72.3,1.6,티셔츠,네이비,발목,데님,무지,청바지,네이비,발목,데님,무지,17
20대,남성,스트리트,3.0,안개,72.3,1.6,점퍼,네이비,발목,데님,무지,팬츠,네이비,발목,데님,무지,17
20대,남성,스트리트,3.0,안개,72.3,1.6,베스트,네이비,발목,데님,무지,청바지,네이비,발목,데님,무지,17
20대,남성,스트리트,3.0,안개,72.3,1.6,패딩,네이비,발목,데님,무지,팬츠,네이비,발목,데님,무지,17
20대,남성,스트리트,3.0,안개,72.3,1.6,짚업,네이비,발목,데님,무지,조거팬츠,네이비,발목,데님,무지,17
20대,남성,스트리트,-1.6,맑음,47.4,2.2,패딩,블랙,발목,패딩,무지,팬츠,블랙,발목,데님,무지,10
30대,남성,스트리트,-1.6,맑음,47.4,2.2,패딩,네이비,발목,퍼,무지,팬츠,네이비,발목,우븐,무지,10
20대,남성,스트리트,-1.6,맑음,47.4,2.2,점퍼,네이비,발목,퍼,무지,팬츠,네이비,발목,퍼,무지,10
20대,남성,스트리트,-1.6,맑음,47.4,2.2,패딩,퍼플,노멀,우븐,무지,팬츠,퍼플,노멀,우븐,무지,10
30대,남성,스트리트,-1.6,맑음,47.4,2.2,점퍼,퍼플,노멀,우븐,무지,청바지,퍼플,노멀,우븐,무지,10
20대,남성,스트리트,-2.4,맑음,50.3,2.5,재킷,블랙,노말,패딩,카무플라쥬,팬츠,블랙,노말,패딩,카무플라쥬,10
10대,남성,스트리트,-2.4,맑음,50.3,2.5,패딩,블랙,노말,패딩,카무플라쥬,팬츠,블랙,노말,패딩,카무플라쥬,10
20대,남성,스트리트,-2.4,맑음,50.3,2.5,패딩,블랙,노말,패딩,카무플라쥬,팬츠,블랙,노말,패딩,카무플라쥬,10
10대,남성,스트리트,-2.4,맑음,50.3,2.5,패딩,블랙,노말,패딩,카무플라쥬,팬츠,블랙,노말,패딩,카무플라쥬,10
20대,남성,스트리트,-2.4,맑음,50.3,2.5,패딩,블랙,노말,패딩,카무플라쥬,팬츠,블랙,노말,패딩,카무플라쥬,10
20대,남성,스트리트,0.9,안개,68.4,3.2,패딩,블랙,노말,패딩,카무플라쥬,팬츠,블랙,노말,패딩,카무플라쥬,4
20대,남성,스트리트,0.9,안개,68.4,3.2,패딩,블랙,노말,패딩,무지,팬츠,블랙,노말,패딩,무지,4
20대,남성,스트리트,0.9,안개,68.4,3.2,패딩,블랙,노멀,패딩,무지,팬츠,블랙,노멀,패딩,무지,4
20대,남성,스트리트,5.1,맑음,42.1,3.8,재킷,블랙,노멀,우븐,무지,팬츠,블랙,노멀,우븐,무지,14
20대,남성,스트리트,2.4,안개,69.1,2.7,점퍼,블랙,노멀,우븐,무지,팬츠,블랙,노멀,우븐,무지,4
10대,남성,스트리트,2.4,안개,69.1,2.7,베스트,블랙,노멀,우븐,무지,팬츠,블랙,노멀,우븐,무지,4
20대,남성,스트리트,2.4,안개,69.1,2.7,패딩,블랙,노멀,우븐,무지,팬츠,블랙,노멀,우븐,무지,4
10대,남성,스트리트,2.4,안개,69.1,2.7,재킷,블랙,노멀,우븐,무지,팬츠,블랙,노멀,우븐,무지,4
30대,남성,스트리트,2.4,안개,69.1,2.7,패딩,블랙,노멀,우븐,무지,청바지,블랙,노멀,우븐,무지,4
20대,남성,스트리트,2.4,안개,69.1,2.7,후드티,블랙,노멀,우븐,무지,팬츠,블랙,노멀,우븐,무지,4
20대,남성,스트리트,-0.9,맑음,55.9,2.1,점퍼,블랙,노멀,우븐,무지,팬츠,블랙,노멀,우븐,무지,10
20대,남성,스트리트,-0.9,맑음,55.9,2.1,패딩,블랙,노멀,우븐,무지,팬츠,블랙,노멀,우븐,무지,10
20대,남성,스트리트,-0.9,맑음,55.9,2.1,패딩,블랙,노멀,우븐,무지,팬츠,블랙,노멀,우븐,무지,10
10대,남성,스트리트,-0.9,맑음,55.9,2.1,후드티,블랙,노멀,우븐,무지,청바지,블랙,노멀,우븐,무지,10
20대,남성,스트리트,-0.9,맑음,55.9,2.1,점퍼,블랙,노멀,우븐,무지,팬츠,블랙,노멀,우븐,무지,10
20대,남성,스트리트,-7.3,맑음,56.5,3.5,티셔츠,블랙,발목,우븐,무지,팬츠,블랙,발목,우븐,무지,10
20대,남성,스트리트,-7.3,맑음,56.5,3.5,재킷,블랙,발목,패딩,무지,조거팬츠,블랙,발목,패딩,무지,10
20대,남성,스트리트,-7.3,맑음,56.5,3.5,후드티,블랙,발목,패딩,무지,팬츠,블랙,발목,패딩,무지,10
20대,남성,스트리트,-7.3,맑음,56.5,3.5,티셔츠,스카이블루,노멀,우븐,무지,팬츠,스카이블루,노멀,우븐,무지,10
20대,남성,스트리트,-7.3,맑음,56.5,3.5,티셔츠,스카이블루,노멀,우븐,무지,조거팬츠,스카이블루,노멀,우븐,무지,10
20대,남성,스트리트,-7.3,맑음,56.5,3.5,티셔츠,스카이블루,노멀,우븐,무지,조거팬츠,스카이블루,노멀,우븐,무지,10
20대,남성,스트리트,-7.3,맑음,56.5,3.5,재킷,스카이블루,노멀,우븐,무지,팬츠,스카이블루,노멀,우븐,무지,10
20대,남성,스트리트,-7.3,맑음,56.5,3.5,후드티,스카이블루,노멀,우븐,무지,팬츠,스카이블루,노멀,우븐,무지,10
20대,남성,스트리트,-6.0,눈,80.1,2.5,패딩,블랙,노멀,우븐,무지,팬츠,블랙,노멀,우븐,무지,17
20대,남성,스트리트,-6.0,눈,80.1,2.5,점퍼,블랙,노멀,우븐,무지,청바지,블랙,노멀,우븐,무지,17
20대,남성,스트리트,-6.0,눈,80.1,2.5,재킷,블랙,노멀,우븐,무지,팬츠,블랙,노멀,우븐,무지,17
20대,남성,스트리트,-6.0,눈,80.1,2.5,점퍼,블랙,노멀,우븐,무지,청바지,블랙,노멀,우븐,무지,17
20대,남성,스트리트,-6.0,눈,80.1,2.5,재킷,블랙,노멀,우븐,무지,팬츠,블랙,노멀,우븐,무지,17
20대,남성,스트리트,-6.0,눈,80.1,2.5,패딩,블랙,노멀,우븐,무지,청바지,블랙,노멀,우븐,무지,17
20대,남성,스트리트,-11.3,눈,45.1,2.1,코트,퍼플,노멀,데님,무지,팬츠,퍼플,노멀,데님,무지,12
20대,남성,스트리트,-11.3,눈,45.1,2.1,코트,퍼플,노멀,데님,무지,청바지,퍼플,노멀,데님,무지,12
20대,남성,스트리트,-4.5,맑음,55.4,1.8,티셔츠,퍼플,발목,우븐,레터링,팬츠,퍼플,발목,우븐,레터링,10
20대,남성,스트리트,-4.5,맑음,55.4,1.8,재킷,블랙,롱,우븐,레터링,팬츠,블랙,롱,우븐,레터링,10
20대,남성,스트리트,-4.5,맑음,55.4,1.8,패딩,블랙,롱,우븐,레터링,팬츠,블랙,롱,우븐,레터링,10
20대,남성,스트리트,-4.5,맑음,55.4,1.8,니트웨어,블랙,롱,우븐,레터링,청바지,블랙,롱,우븐,레터링,10
20대,남성,스트리트,-0.4,눈,69.3,2.5,점퍼,민트,노멀,우븐,무지,팬츠,민트,노멀,우븐,무지,4
10대,남성,스트리트,-0.4,눈,69.3,2.5,패딩,민트,노멀,우븐,무지,팬츠,민트,노멀,우븐,무지,4
20대,남성,스트리트,-0.4,눈,69.3,2.5,패딩,민트,노멀,우븐,무지,팬츠,민트,노멀,우븐,무지,4
20대,남성,스트리트,-1.9,눈,60.5,2.0,점퍼,네이비,노멀,패딩,무지,청바지,네이비,노멀,패딩,무지,4
20대,남성,스트리트,-1.9,눈,60.5,2.0,패딩,네이비,노멀,패딩,무지,팬츠,네이비,노멀,패딩,무지,4
